ori_read = 17, n = 312072, length_s = '111111111111111110', value_s = '001100001100001001', len(length_s) = 18, len(value_s) = 18
ori_read = 12145, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 12153, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 12165, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12173, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 12181, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 12191, n = 7, length_s = '110', value_s = '000', len(length_s) = 3, len(value_s) = 3
ori_read = 12209, n = 139, length_s = '1111110', value_s = '0001100', len(length_s) = 7, len(value_s) = 7
ori_read = 12237, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12247, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12257, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 12265, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 12273, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 12301, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12311, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12335, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 12343, n = 32, length_s = '11110', value_s = '00001', len(length_s) = 5, len(value_s) = 5
ori_read = 12359, n = 2555, length_s = '11111111110', value_s = '00111111100', len(length_s) = 11, len(value_s) = 11
ori_read = 12525, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12535, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12545, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12585, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12595, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12605, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 12613, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 12679, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12689, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12695, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12705, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12715, n = 43, length_s = '11110', value_s = '01100', len(length_s) = 5, len(value_s) = 5
ori_read = 12733, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12773, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12783, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 12791, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 12819, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12843, n = 121, length_s = '111110', value_s = '111010', len(length_s) = 6, len(value_s) = 6
ori_read = 12887, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12919, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12929, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 12957, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12973, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 12985, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 12995, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13003, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13013, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13057, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13089, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13099, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13141, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13147, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13157, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13167, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13175, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13199, n = 176, length_s = '1111110', value_s = '0110001', len(length_s) = 7, len(value_s) = 7
ori_read = 13229, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13245, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13257, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13265, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13275, n = 7, length_s = '110', value_s = '000', len(length_s) = 3, len(value_s) = 3
ori_read = 13313, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13337, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13347, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13389, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13395, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13405, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13415, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13423, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13467, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13491, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13501, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13521, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13533, n = 195, length_s = '1111110', value_s = '1000100', len(length_s) = 7, len(value_s) = 7
ori_read = 13569, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13579, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13587, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13629, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13635, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13645, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13655, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13665, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13673, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13717, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13727, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13751, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13761, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13771, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13791, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13801, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13817, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13825, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13837, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13845, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13853, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13863, n = 7, length_s = '110', value_s = '000', len(length_s) = 3, len(value_s) = 3
ori_read = 13895, n = 132, length_s = '1111110', value_s = '0000101', len(length_s) = 7, len(value_s) = 7
ori_read = 13923, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13933, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13943, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13951, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 13959, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 13987, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 13997, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14021, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 14029, n = 28, length_s = '1110', value_s = '1101', len(length_s) = 4, len(value_s) = 4
ori_read = 14043, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 14051, n = 2551, length_s = '11111111110', value_s = '00111111000', len(length_s) = 11, len(value_s) = 11
ori_read = 14225, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14235, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14245, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14285, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14295, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14305, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 14313, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 14379, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14389, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14395, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14405, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14415, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14425, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 14433, n = 35, length_s = '11110', value_s = '00100', len(length_s) = 5, len(value_s) = 5
ori_read = 14451, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14491, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14501, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 14509, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 14537, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14561, n = 113, length_s = '111110', value_s = '110010', len(length_s) = 6, len(value_s) = 6
ori_read = 14577, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 14621, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14653, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14663, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 14691, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14707, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 14719, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14729, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14737, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 14747, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 14791, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14823, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14833, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 14875, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14881, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14891, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14901, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 14909, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 14939, n = 168, length_s = '1111110', value_s = '0101001', len(length_s) = 7, len(value_s) = 7
ori_read = 14959, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 14979, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 14995, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 15007, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15015, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 15025, n = 7, length_s = '110', value_s = '000', len(length_s) = 3, len(value_s) = 3
ori_read = 15063, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15087, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15097, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 15139, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15145, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15155, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15165, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 15173, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 15217, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15241, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15251, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 15271, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15287, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 15295, n = 185, length_s = '1111110', value_s = '0111010', len(length_s) = 7, len(value_s) = 7
ori_read = 15317, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15341, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15351, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 15359, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 15401, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15407, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15417, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15427, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15437, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 15445, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 15489, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15499, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15523, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15533, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15543, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 15563, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15573, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15589, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 15597, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 15609, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 15617, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 15625, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 15635, n = 7, length_s = '110', value_s = '000', len(length_s) = 3, len(value_s) = 3
ori_read = 15677, n = 127, length_s = '1111110', value_s = '0000000', len(length_s) = 7, len(value_s) = 7
ori_read = 15705, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
